"Time","105_evt"
1590777333143,1
1590777333146,0
1590777333393,1
1590777333396,0
1590777334017,1
1590777334021,0
1590777334266,1
1590777334271,0
1590777334516,1
1590777334521,0
1590777334890,1
1590777334896,0
1590777335140,1
1590777335146,0
1590777335514,1
1590777335521,0
1590777335889,1
1590777335896,0
1590777336138,1
1590777336146,0
1590777336388,1
1590777336396,0
1590777336637,1
1590777336646,0
1590777337261,1
1590777337263,0
1590777337511,1
1590777337513,0
1590777337760,1
1590777337763,0
1590777338384,1
1590777338388,0
1590777338759,1
1590777338763,0
1590777339008,1
1590777339013,0
1590777339383,1
1590777339388,0
1590777339632,1
1590777339638,0
1590777339882,1
1590777339888,0
1590777340131,1
1590777340138,0
1590777340381,1
1590777340388,0
1590777340756,1
1590777340763,0
1590777341255,1
1590777341263,0
1590777341504,1
1590777341505,0
1590777341879,1
1590777341880,0
1590777342128,1
1590777342130,0
1590777342378,1
1590777342380,0
1590777342752,1
1590777342755,0
1590777343002,1
1590777343005,0
1590777343251,1
1590777343255,0
1590777343501,1
1590777343505,0
1590777343750,1
1590777343755,0
1590777344125,1
1590777344130,0
1590777344374,1
1590777344380,0
1590777344624,1
1590777344630,0
1590777344998,1
1590777345005,0
1590777345248,1
1590777345255,0
1590777345498,1
1590777345505,0
1590777345747,1
1590777345755,0
1590777346121,1
1590777346122,0
1590777346371,1
1590777346372,0
1590777346870,1
1590777346872,0
1590777347120,1
1590777347122,0
1590777347993,1
1590777347997,0
1590777348118,1
1590777348122,0
1590777348617,1
1590777348622,0
1590777348867,1
1590777348872,0
1590777349116,1
1590777349122,0
1590777349740,1
1590777349747,0
1590777349990,1
1590777349997,0
1590777350240,1
1590777350247,0
1590777350988,1
1590777350989,0
1590777351238,1
1590777351239,0
1590777351487,1
1590777351489,0
1590777352111,1
1590777352114,0
1590777352361,1
1590777352364,0
1590777352610,1
1590777352614,0
1590777352985,1
1590777352989,0
1590777353234,1
1590777353239,0
1590777353484,1
1590777353489,0
1590777353734,1
1590777353739,0
1590777354108,1
1590777354114,0
1590777354358,1
1590777354364,0
1590777354982,1
1590777354989,0
1590777355231,1
1590777355239,0
1590777356354,1
1590777356356,0
1590777357228,1
1590777357231,0
1590777357477,1
1590777357481,0
1590777357852,1
1590777357856,0
1590777358101,1
1590777358106,0
1590777358476,1
1590777358481,0
1590777358725,1
1590777358731,0
1590777359099,1
1590777359106,0
1590777359349,1
1590777359356,0
1590777359599,1
1590777359606,0
1590777359848,1
1590777359856,0
1590777359973,1
1590777359981,0
1590777360223,1
1590777360223,0
1590777360472,1
1590777360473,0
1590777360722,1
1590777360723,0
1590777361221,1
1590777361223,0
1590777361471,1
1590777361473,0
1590777362094,1
1590777362098,0
1590777362469,1
1590777362473,0
1590777362718,1
1590777362723,0
1590777363093,1
1590777363098,0
1590777363592,1
1590777363598,0
1590777364466,1
1590777364473,0
1590777364715,1
1590777364715,0
1590777364965,1
1590777364965,0
1590777365214,1
1590777365215,0
1590777365464,1
1590777365465,0
1590777365838,1
1590777365840,0
1590777366712,1
1590777366715,0
1590777367086,1
1590777367090,0
1590777367336,1
1590777367340,0
1590777367585,1
